English,Persian
sexually,جنسی
shade,سایه
shadow,سایه
shake,تکان دادن
shall,باید
shallow,کم عمق
shame,شرم
shape,شکل
shaped,شکل
share,اشتراک گذاری
sharp,تیز
sharply,به شدت
shave,اصلاح
she,او
sheep,گوسفند
sheet,ورق
shelf,تاقچه
shell,پوسته
shelter,پناه
shift,تغییر مکان
shine,درخشش
shiny,براق
ship,کشتی
shirt,پیراهن
shock,شوکه شدن
shocked,بهت زده
shocking,تکان دهنده
shoe,کفش
shoot,شلیک
shoot down,شلیک کردن
shooting,تیراندازی کردن
shop,فروشگاه
shopping,خريد كردن
short,کوتاه
shortly,مدت کوتاهی
shot,عکس
should,باید
shoulder,شانه
shout,فریاد
show,نمایش
shower,دوش
show off,خود نمایی کردن
show round,دور نشان می دهد
show up,نشان می دهد تا
shut,بسته
shut down,تعطیل کردن
shut in,حبس کردن
shut out,باختن
shut up,خفه شو
shy,خجالتی
sick,بیمار
side,سمت
sideways,یک وری
sight,منظره
sign,امضا کردن
signal,علامت
signature,امضا
significant,قابل توجه
significantly,به طور قابل ملاحظه
silence,سکوت
silent,بی صدا
silk,ابریشم
silly,احمقانه
silver,نقره اي
similar,مشابه
similarly,به طور مشابه
simple,ساده
simply,به سادگی
since,از آنجا که
sincere,مخلص - بی ریا - صمیمانه
sincerely,خالصانه
sing,آواز خواندن
singer,خواننده
singing,خوانندگی
single,تنها
sink,فرو رفتن
sir,آقا
sister,خواهر
sit,تحصن
sit down,بنشینید
site,سایت
situation,وضعیت
six,شش
sixteen,شانزده
sixth,ششم
sixtieth,شصتمین
sixty,شصت
size,اندازه
skilful,ماهر
skilfully,ماهرانه
skill,مهارت
skilled,ماهر
skin,پوست
skirt,دامن
sky,آسمان
sleep,خواب
sleeve,استین
slice,تکه
slide,لغزش
slight,جزئی
slightly,اندکی
slip,لیز خوردن
slope,شیب
slow,آهسته. تدریجی
slowly,به آرامی
small,کم اهمیت
smart,هوشمندانه
smash,درهم کوبیدن
smell,بو
smile,لبخند
smoke,دود
smoking,سیگار کشیدن
smooth,صاف
smoothly,به نرمی
snake,مار
snow,برف
so,بنابراین
soap,صابون
social,اجتماعی
socially,اجتماعی
society,جامعه
sock,جوراب
soft,نرم
softly,ملایم
software,نرم افزار
soil,خاک
soldier,سرباز
solid,جامد
solution,راه حل
solve,حل
some,مقداری
some,مقداری
somebody,کسی
somehow,به نحوی
someone,کسی
something,چیزی
sometimes,گاهی
somewhat,قدری
somewhere,یک جایی
son,فرزند پسر
song,ترانه
soon,به زودی
sore,زخم
sorry,متاسف
sort,مرتب سازی
sort out,مرتب کردن بر اساس
soul,روح
sound,صدا
soup,سوپ
sour,ترش
source,منبع
south,جنوب
southern,جنوبی
space,فضا
spare,یدکی
speak,صحبت
speaker,گوینده
speak out,حرف بزن
speak up,صحبت کردن
special,ویژه
specialist,متخصص
specially,ویژه
specific,خاص
specifically,به طور مشخص
speech,سخن، گفتار
speed,سرعت
speed up,سرعت دادن
spell,هجی کردن
spelling,هجی
spend,خرج کردن
spice,ادویه
spicy,تند
spider,عنکبوت
spin,چرخش
spirit,روح
spiritual,روحانی
spite,کینه
split,شکاف
split up,تقسیم کردن
spoil,از بین بردن
spoken,صحبت
spoon,قاشق
sport,ورزش
spot,نقطه
spray,افشانه
spread,انتشار دادن
spread out,گسترش یافتن انتشار یافتن
spring,بهار
square,مربع
squeeze,چلاندن، فشار دادن
stable,پایدار
staff,کارکنان
stage,صحنه
stair,پله
stamp,مهر
stand,ایستادن
standard,استاندارد
stand back,عقب بایست
stand by,حاضر بودن
stand for,ایستادن برای
stand out,ایستادگی کردن
stand up,ایستادن
stand up for,ایستادن برای
star,ستاره
stare,خیره نگاه کردن
start,شروع
start off,شروع کردن
start out,عازم شدن
start up,استارت آپ
state,دولت
statement,بیانیه
station,ایستگاه
statue,مجسمه
status,وضعیت
stay,ماندن
stay away,جلو نیا
stay out of,اقامت در خارج از
steadily,به طور پیوسته
steady,ثابت
steal,کش رفتن
steam,بخار
steel,فولاد
steep,شیب تند
steeply,شدت
steer,هدایت
step,گام
stick,چوب
stick out,اصرار کردن
stick to,چوب به
stick up,گستاخ
sticky,چسبنده
stiff,سفت
stiffly,شق و رق
still,هنوز
sting,نیش
stir,بهم زدن
stock,موجودی
stomach,معده
stone,سنگ
stop,متوقف کردن
store,فروشگاه
storm,طوفان
story,داستان
stove,اجاق
straight,سر راست
strain,نژاد
strange,عجیب
strangely,عجیب
stranger,بیگانه
strategy,استراتژی
stream,جریان
street,خیابان
strength,استحکام - قدرت
stress,فشار
stressed,تاکید
stretch,کش آمدن
strict,سخت گیرانه
strictly,موکدا
strike,ضربه
striking,قابل توجه، برجسته، موثر
string,رشته
strip,نوار
stripe,پارچه راه راه
striped,راه راه
stroke,سکته
strong,قوی
strongly,به شدت
structure,ساختار
struggle,تقلا
student,دانشجو
studio,کارگاه
study,مطالعه
stuff,چیز
stupid,احمق
style,سبک
subject,موضوع
substance,ماده
substantial,قابل توجه
substantially,قابل ملاحظه ای
substitute,جایگزین
succeed,موفق شدن
success,موفقیت
successful,موفقیت آمیز
successfully,با موفقیت
such,چنین
suck,مکیدن
sudden,ناگهانی
suddenly,ناگهان
suffer,رنج بردن
suffering,رنج کشیدن
sufficient,کافی
sufficiently,به اندازه کافی
sugar,قند
suggest,پیشنهاد می دهد
suggestion,پیشنهاد
suit,کت و شلوار
suitable,مناسب
suitcase,چمدان
suited,مناسب
sum,مجموع
summary,خلاصه
summer,تابستان
sum up,خلاصه کردن
sun,آفتاب
Sunday,یکشنبه
superior,برتر
supermarket,سوپر مارکت
supply,عرضه
support,پشتیبانی
supporter,حامی
suppose,فرض کنید
sure,مطمئن
surely,مسلما
surface,سطح
surname,نام خانوادگی
surprise,تعجب
surprised,غافلگیر شدن
surprising,شگفتی
surprisingly,جای تعجب
surround,احاطه
surrounding,اطراف
surroundings,محیط اطراف
survey,نظر سنجی
survey,نظر سنجی
survive,زنده ماندن
suspect,مظنون
suspicion,سوء ظن
suspicious,مشکوک
swallow,بلع
swear,سوگند
swearing,قسم خوردن
sweat,عرق
sweater,ژاکت
sweep,جارو کردن
sweet,شیرین
swell,متورم
swelling,ورم
swim,شنا
swimming,شنا كردن
swimming pool,استخر
swing,تاب خوردن
switch,تعویض
switch off,خاموش کن
swollen,متورم
symbol,سمبل
sympathetic,دلسوز
sympathy,ابراز همدردی
system,سیستم
table,جدول
tablet,قرص
tackle,برخورد با
tail,دم
take,گرفتن
take away,بردن
take back,پس گرفتن
take down,خراب کردن
take in,را در
take off,در آوردن
take on,را در
take over,به عهده گرفتن
take up,تا
talk,صحبت
tall,بلند قد
tank,مخزن
tap,ضربه زدن
tape,نوار
target,هدف
task,وظیفه
taste,طعم
tax,مالیات
taxi,تاکسی
tea,چای
teach,آموزش
teacher,معلم
teaching,درس دادن
team,تیم
tear 1,اشک 1
tear 2,اشک 2
tear up,پاره کردن
technical,فنی
technique,تکنیک
technology,فن آوری
telephone,تلفن
television,تلویزیون
tell,گفتن
tell off,تعیین کردن
temperature,درجه حرارت
temporarily,موقتا
temporary,موقت
ten,ده
tend,تمایل
tendency,گرایش
tension,تنش
tent,چادر
tenth,دهم
term,مدت، اصطلاح
terrible,وحشتناک
terribly,وحشتناکی
test,تست
text,متن
than,نسبت به. تا
thank,تشکر
thanks,با تشکر
thank you,متشکرم
that,که
that,که
the,
theatre,تئاتر
their,شان
theirs,خودمانی
them,آنها
theme,موضوع
themselves,خودشان
then,سپس
theory,تئوری
there,آنجا
therefore,از این رو
they,آنها
thick,ضخیم
thickly,نسبتا ضخیم
thickness,ضخامت
thief,دزد
thin,لاغر
thing,چیز
think,فکر
think about,فکر می کنم در مورد
thinking,فكر كردن
think of,در فکر
think of as,به عنوان فکر می کنم
think over,سنگین کردن
think up,فکر می کنم تا
third,سوم
thirsty,تشنه
thirteen,سیزده
thirteenth,سیزدهم
thirtieth,سی ام
thirty,سی
this,این
thorough,کامل
thoroughly,بطور کامل
though,اگر چه
thought,فکر
thousand,هزار
thousandth,هزارم
thread,نخ
threat,تهدید
threaten,تهدید کردن
threatening,تهدید کننده
three,سه
throat,گلو
through,از طریق
throughout,سراسر
throw,پرت کردن
throw away,دور انداختن
throw out,بیرون انداختن
thumb,شست
Thursday,پنج شنبه
thus,بدین ترتیب
ticket,بلیط
tidy,مرتب
tie,کراوات
tie up,بستن
tight,تنگ
tightly,محکم
till,تا
time,زمان
timetable,جدول زمانی
tin,قلع
tiny,کوچک
tip,نکته
tip over,بیش از نوک
tire,لاستیک
tired,خسته
tire out,خارج تایر
tiring,خسته کننده
title,عنوان
to,به
today,امروز
toe,پنجه
together,با یکدیگر
toilet,توالت
tomato,گوجه فرنگی
tomorrow,فردا
ton,تن
tone,لحن
tongue,زبان
tonight,امشب
tonne,تن
too,هم
tool,ابزار
tooth,دندان
top,بالا
topic,موضوع
total,جمع
totally,کاملا
touch,دست زدن به
tough,سخت است
tour,سفر
tourist,توریست
towards,به سمت
towel,حوله
tower,برج
town,شهر
toy,اسباب بازی
trace,پی گیری
track,مسیر
trade,تجارت
trading,تجارت
tradition,سنت
traditional,سنتی
traditionally,به طور سنتی
traffic,ترافیک
train,قطار - تعلیم دادن
training,آموزش
transfer,انتقال
transfer,انتقال
transform,تبدیل
translate,ترجمه کردن
translation,ترجمه
transparent,شفاف
transport,حمل و نقل
transport,حمل و نقل
transportation,حمل و نقل
trap,دام
travel,مسافرت رفتن
traveller,رهگذر
treat,درمان شود
treatment,رفتار
tree,درخت
trend,روند
trial,آزمایش
triangle,مثلث
trick,فوت و فن
trip,سفر
tropical,گرمسیری
trouble,مشکل
trousers,شلوار
truck,کامیون
TRUE,درست است، واقعی
truly,براستی
trust,اعتماد
truth,حقیقت
try,تلاش كردن
try on,سعی کنید در
try out,امتحان کنید
tube,لوله
Tuesday,سهشنبه
tune,اهنگ
tunnel,تونل
turn,دور زدن
turn back,برگرد
turn down,خرد ساختن
turn into,تبدیل شدن به
turn off,خاموش
turn on,روشن کن
turn out,با کلید خاموش کردن
turn over,حجم معاملات
turn round,دور زدن
turn to,نوبه خود به
turn up,به نوبه خود تا
TV,تلویزیون
twelfth,دوازدهم
twelve,دوازده
twentieth,بیستم
twenty,بیست
twice,دو برابر
twin,دوقلو
twist,پیچ - پیچیدن
twisted,پیچ خورده
two,دو
type,نوع
typical,معمول
typically,معمولا
tyre,لاستیک
the unemployed,بیکاران
the unexpected,غیرمنتظره
ugly,زشت
ultimate,نهایی
ultimately,در نهایت
umbrella,چتر
unable,ناتوان
unacceptable,غیر قابل قبول
uncertain,نا معلوم
uncle,عمو یا دایی
uncomfortable,ناراحت
unconscious,ناخودآگاه
uncontrolled,کنترل نشده
under,زیر
underground,زیر زمین
underneath,در زیر
understand,فهمیدن
understanding,درك كردن
underwater,زیر آب
underwear,زیر شلواری
undo,خنثیسازی
unemployed,بی کار
unemployment,بیکاری
unexpected,غیر منتظره
unexpectedly,بر خلاف انتظار
unfair,غیر منصفانه
unfairly,ناعادلانه
unfortunate,مایه تاسف
unfortunately,متاسفانه
unfriendly,غیر دوستانه
unhappy,ناکام
uniform,لباس فرم
unimportant,بی اهمیت
union,اتحاد. اتصال
unique,منحصر بفرد
unit,واحد
unite,متحد کردن
united,متحد
universe,کائنات
university,دانشگاه
unkind,نامهربان
unknown,ناشناس
unless,مگر اینکه
unlike,برخلاف
unlikely,بعید
unload,خالی کردن
unlucky,بد شانس
unnecessary,غیر ضروری
unpleasant,ناخوشایند
unreasonable,بی دلیل
unsteady,ناپایا
unsuccessful,ناموفق
untidy,درهم و برهم
until,تا زمان
unusual,غیر معمول
unusually,غیر منتظره
unwilling,ناخواسته، بی میل
unwillingly,ناخواسته
up,بالا
upon,بر
upper,بالا
upset,ناراحت
upset,ناراحت
upsetting,ناراحت کننده
upside down,معکوس
upstairs,از پله ها
upward,بطرف بالا
upwards,بطرف بالا
urban,شهری
urge,نیاز
urgent,فوری
us,ما
use,استفاده کنید
use,استفاده کنید
used 1,استفاده 1
used 2,استفاده می شود 2
used to,استفاده می شود
useful,مفید
useless,بلا استفاده
user,کاربر
use up,استفاده
usual,معمول
usually,معمولا
vacation,مرخصی
valid,معتبر
valley,دره
valuable,با ارزش
value,ارزش
van,ون
variation,تغییر
varied,متنوع
variety,تنوع
various,مختلف
vary,متفاوت
vast,وسیع
vegetable,سبزی
vehicle,وسیله نقلیه
venture,ریسک
version,نسخه
vertical,عمودی
very,بسیار
via,از طریق
victim,قربانی
victory,پیروزی
video,تصویری
view,چشم انداز
village,روستا
violence,خشونت
violent,خشن
violently,خشونت
virtually,تقریبا
virus,ویروس
visible,قابل رویت
vision,چشم انداز
visit,بازدید
visitor,بازدید کننده
vital,حیاتی
vocabulary,واژگان
voice,صدا
volume,جلد
vote,رای
wage,حق الزحمه
waist,دور کمر
wait,صبر کن
waiter,پیشخدمت
wake,از خواب بیدار
walk,راه رفتن
walking,پیاده روی
walk out,قدم زدن به بیرون
walk up,راه رفتن تا
wall,دیوار
wallet,کیف پول
wander,پرسه زدن
want,می خواهید
war,جنگ
warm,گرم
warmth,گرما
warm up,دست گرمی بازی کردن
warn,هشدار دادن
warning,هشدار
wash,شستشو
wash away,شستن دور
washing,لباسشویی
wash off,شستشو کردن
wash out,شستشو کردن
wash up,دست و رو شستن
waste,هدر
watch,تماشا کردن
watch out,مواظب باش
watch out for,مراقب
water,اب
wave,موج
way,مسیر
we,ما
weak,ضعیف
weakness,ضعف
wealth,ثروت
weapon,سلاح
wear,پوشیدن
wear away,ساییدن
wear off,پاک شدن
wear out,کهنه و فرسوده شدن
weather,هوا
web,وب
website,سایت اینترنتی
wedding,عروسی
Wednesday,چهار شنبه
week,هفته
weekend,تعطیلات آخر هفته
weekly,هفتگی
weigh,وزن
weight,وزن
welcome,خوش آمدی
well,خوب
well known,مشهور - معروف
west,غرب
western,غربی
wet,مرطوب
what,چی
whatever,هر چه
wheel,چرخ
when,چه زمانی
whenever,هر زمان که
where,جایی که
whereas,در حالیکه
wherever,هر کجا که
whether,چه
which,که
while,در حالی که
whisper,نجوا
whistle,سوت
white,سفید
who,سازمان بهداشت جهانی
whoever,هر کسی که
whole,تمام
whom,که
whose,که
why,چرا
wide,وسیع
widely,به طور گسترده ای
width,عرض
wife,زن
wild,وحشی
wildly,شدید
will,اراده
willing,مایل بودن
willingly,با میل و رغبت
willingness,تمایل
win,پیروزی
wind 1,باد 1
wind 2,باد 2
window,پنجره
wine,شراب
wing,بال
winner,برنده
winning,برنده
winter,زمستان
wire,سیم
wise,دانا
wish,آرزو کردن
with,با
withdraw,کنار کشیدن
within,در داخل
without,بدون
witness,شاهد
woman,زن
wonder,تعجب
wonderful,شگفت انگیز
wood,چوب
wooden,چوبی
wool,پشم
word,کلمه
work,کار
worker,کارگر
working,کار کردن
work out,کار کردن
world,جهان
worried,نگران
worry,نگران بودن
worrying,نگران کننده
worse,بدتر
worship,عبادت
worst,بدترین
worth,ارزش
would,کاش
wound 1,سیم پیچ 1
wounded,مجروح
wrap,بسته بندی کردن
wrapping,کاغذ بسته بندی
wrist,مچ دست
write,نوشتن
write back,جواب دادن
write down,بنویس
writer,نویسنده
writing,نوشته
written,نوشته شده است
wrong,اشتباه
wrongly,اشتباه
yard,حیاط
yawn,خمیازه
yeah,آره
year,سال
yellow,رنگ زرد
yes,آره
yesterday,دیروز
yet,هنوز
you,شما
young,جوان
your,خود را
yours,مال شما
yourself,خودت
youth,جوانان
zero,صفر
zone,منطقه
